Episode,Score
1,56
2,68
3,83
4,81
5,82
6,-100
7,57
8,52
9,34
10,65
11,84
12,50
13,76
14,89
15,84
16,85
17,89
18,93
19,87
20,66
21,93
22,76
23,97
24,57
25,74
26,80
27,91
28,61
29,88
30,80
31,87
32,83
33,61
34,64
35,32
36,91
37,87
38,95
39,88
40,73
41,87
42,81
43,38
44,67
45,47
46,94
47,48
48,80
49,93
50,92
51,86
52,88
53,58
54,90
55,63
56,84
57,77
58,92
59,93
60,87
61,92
62,88
63,97
64,91
65,95
66,41
67,87
68,92
69,70
70,87
71,87
72,89
73,86
74,78
75,76
76,91
77,50
78,69
79,94
80,75
81,93
82,87
83,84
84,85
85,57
86,77
87,58
88,83
89,95
90,93
91,94
92,85
93,97
94,87
95,96
96,86
97,90
98,87
99,70
100,96
101,95
102,88
103,92
104,67
105,97
106,93
107,76
108,83
109,92
110,89
111,83
112,94
113,91
114,94
115,95
116,95
117,95
118,94
119,96
120,89
121,52
122,96
123,80
124,82
125,92
126,96
127,84
128,85
129,82
130,87
131,50
132,92
133,91
134,89
135,87
136,89
137,81
138,91
139,85
140,83
141,91
142,94
143,95
144,89
145,97
146,83
147,87
148,80
149,86
150,82
151,91
152,95
153,94
154,94
155,97
156,96
157,92
158,91
159,95
160,94
161,97
162,95
163,96
164,96
165,95
166,93
167,94
168,95
169,95
170,88
171,88
172,79
173,82
174,97
175,95
176,96
177,93
178,94
179,97
180,97
181,90
182,94
183,94
184,93
185,92
186,94
187,97
188,96
189,95
190,96
191,96
192,97
193,97
194,95
195,95
196,97
197,93
198,97
199,97
200,95
201,93
202,93
203,92
204,94
205,89
206,83
207,95
208,77
209,97
210,94
211,86
212,88
213,74
214,93
215,92
216,95
217,81
218,82
219,80
220,87
221,62
222,80
223,93
224,77
225,83
226,75
227,96
228,95
229,95
230,97
231,97
232,96
233,97
234,88
235,97
236,97
237,97
238,95
239,96
240,97
241,95
242,95
243,97
244,95
245,97
246,97
247,97
248,97
249,97
250,95
251,97
252,97
253,96
254,97
255,95
256,97
257,95
258,96
259,95
260,97
261,96
262,97
263,96
264,97
265,97
266,97
267,97
268,95
269,91
270,95
271,97
272,97
273,95
274,94
275,96
276,97
277,97
278,97
279,97
280,97
281,95
282,96
283,97
284,93
285,96
286,97
287,96
288,96
289,96
290,97
291,97
292,97
293,96
294,97
295,94
296,94
297,97
298,95
299,95
300,97
301,96
302,95
303,95
304,96
305,96
306,96
307,96
308,96
309,96
310,97
311,97
312,96
313,97
314,95
315,93
316,97
317,97
318,97
319,97
320,95
321,97
322,97
323,97
324,95
325,96
326,96
327,97
328,96
329,97
330,96
331,97
332,97
333,96
334,94
335,97
336,97
337,97
338,96
339,97
340,97
341,97
342,93
343,97
344,97
345,96
346,97
347,97
348,97
349,96
350,97
351,97
352,97
353,95
354,97
355,97
356,97
357,97
358,97
359,97
360,97
361,97
362,95
363,94
364,97
365,97
366,97
367,97
368,96
369,97
370,97
371,97
372,97
373,96
374,97
375,97
376,97
377,96
378,97
379,96
380,94
381,97
382,97
383,97
384,97
385,93
386,97
387,97
388,94
389,97
390,97
391,97
392,97
393,96
394,97
395,96
396,96
397,97
398,97
399,97
400,95
401,97
402,97
403,96
404,96
405,95
406,97
407,97
408,97
409,97
410,97
411,97
412,94
413,97
414,97
415,97
416,97
417,97
418,97
419,97
420,96
421,96
422,97
423,97
424,96
425,97
426,97
427,93
428,95
429,96
430,97
431,97
432,97
433,97
434,97
435,97
436,97
437,96
438,97
439,96
440,97
441,97
442,97
443,97
444,96
445,96
446,97
447,97
448,97
449,93
450,97
451,97
452,97
453,95
454,97
455,97
456,97
457,97
458,97
459,97
460,97
461,97
462,97
463,96
464,95
465,97
466,97
467,97
468,97
469,97
470,96
471,96
472,97
473,97
474,95
475,97
476,97
477,97
478,97
479,95
480,97
481,97
482,95
483,97
484,97
485,97
486,96
487,96
488,97
489,97
490,97
491,97
492,96
493,97
494,97
495,96
496,97
497,97
498,97
499,97
500,97
